ID,Company name Latin alphabet,NAICS 2017; primary code(s),"Operating P/L [=EBIT]th USD 2021","Operating P/L [=EBIT]th USD 2020","Operating P/L [=EBIT]th USD 2019","Operating P/L [=EBIT]th USD 2018","Operating P/L [=EBIT]th USD 2017","Operating P/L [=EBIT]th USD 2016","Operating P/L [=EBIT]th USD 2015","Operating P/L [=EBIT]th USD 2014","Operating P/L [=EBIT]th USD 2013","Operating P/L [=EBIT]th USD 2012","P/L for period [=Net income]th USD 2021","P/L for period [=Net income]th USD 2020","P/L for period [=Net income]th USD 2019","P/L for period [=Net income]th USD 2018","P/L for period [=Net income]th USD 2017","P/L for period [=Net income]th USD 2016","P/L for period [=Net income]th USD 2015","P/L for period [=Net income]th USD 2014","P/L for period [=Net income]th USD 2013","P/L for period [=Net income]th USD 2012","Total assetsth USD 2021","Total assetsth USD 2020","Total assetsth USD 2019","Total assetsth USD 2018","Total assetsth USD 2017","Total assetsth USD 2016","Total assetsth USD 2015","Total assetsth USD 2014","Total assetsth USD 2013","Total assetsth USD 2012","Cash & cash equivalentth USD 2021","Cash & cash equivalentth USD 2020","Cash & cash equivalentth USD 2019","Cash & cash equivalentth USD 2018","Cash & cash equivalentth USD 2017","Cash & cash equivalentth USD 2016","Cash & cash equivalentth USD 2015","Cash & cash equivalentth USD 2014","Cash & cash equivalentth USD 2013","Cash & cash equivalentth USD 2012","Total Current Liabilitiesth USD 2021","Total Current Liabilitiesth USD 2020","Total Current Liabilitiesth USD 2019","Total Current Liabilitiesth USD 2018","Total Current Liabilitiesth USD 2017","Total Current Liabilitiesth USD 2016","Total Current Liabilitiesth USD 2015","Total Current Liabilitiesth USD 2014","Total Current Liabilitiesth USD 2013","Total Current Liabilitiesth USD 2012","Income Tax Payableth USD 2021","Income Tax Payableth USD 2020","Income Tax Payableth USD 2019","Income Tax Payableth USD 2018","Income Tax Payableth USD 2017","Income Tax Payableth USD 2016","Income Tax Payableth USD 2015","Income Tax Payableth USD 2014","Income Tax Payableth USD 2013","Income Tax Payableth USD 2012","Depreciationth USD 2021","Depreciationth USD 2020","Depreciationth USD 2019","Depreciationth USD 2018","Depreciationth USD 2017","Depreciationth USD 2016","Depreciationth USD 2015","Depreciationth USD 2014","Depreciationth USD 2013","Depreciationth USD 2012"
1575,PCT LTD.,333318,n.a.,-1401,-1682,-2668,-2269,-946,-484,-17,-24,-32,n.a.,-4082,-16579,-3182,-2722,-2250,-494,-29,-34,-39,n.a.,4635,4375,4847,4754,279,240,1,3,0,n.a.,115,68,5,8,21,42,1,3,0,n.a.,10901,14290,1888,1456,426,232,207,181,144,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-44,-25,-26,-292,-39,-36,n.a.,0,0
1576,DIGIPATH; INC.,541380,-772,-2192,-1843,-1759,-1347,-2882,-3441,-2336,-312,n.a.,-687,-2309,-1805,-1654,-1065,-3699,-4332,-2832,-330,n.a.,1888,1788,1356,1399,1571,1447,2173,5678,255,n.a.,296,83,324,176,178,135,481,5103,35,n.a.,2014,773,471,385,164,212,157,191,802,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-312,-323,-261,-277,-254,-245,-84,-5,-27,n.a.
1577,INSPIREMD; INC.,334510,n.a.,-10380,-9816,-7611,-8232,-7648,-13503,-23698,-8827,-7158,n.a.,-10544,-10040,-7696,-13028,-8461,-15585,-25095,-9336,-7081,n.a.,17777,9880,12288,6107,9410,5693,11459,23966,16014,n.a.,12645,5514,9384,3710,7516,3257,6300,17535,10284,n.a.,3705,3115,2920,2482,4778,6834,8473,6124,3550,n.a.,n.a.,n.a.,n.a.,n.a.,5,3,15,29,56,n.a.,-151,-158,-152,-178,-191,-241,-263,-110,-69
1578,MINERCO; INC.,325411,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3977,-373,-1009,-1964,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4050,-416,-547,-5956,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1780,769,140,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,n.a.,124,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5716,1637,2381,3494,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-80,-44,n.a.,n.a.
1579,DNAPRINT GENOMICS; INC.,541715,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1580,BIOLARGO; INC.,334510,n.a.,-7583,-6696,-6412,-5895,-4935,-4181,-3391,-2620,-4718,n.a.,-8432,-10690,-10221,-9117,-7840,-5056,-3692,-2528,-5334,n.a.,4942,3621,3185,1495,2113,1910,261,167,269,n.a.,716,655,655,990,1910,1763,154,92,151,n.a.,3544,4354,2491,4216,1155,460,653,732,558,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-58,-65,-50,-30,-16,n.a.,n.a.,n.a.,n.a.
1581,GIGGLES N HUGS INC,722511,n.a.,n.a.,n.a.,-628,-1477,-930,-2029,-1637,-1479,-2091,n.a.,n.a.,n.a.,-691,-1622,-1387,-2069,-2357,-1525,-2097,n.a.,n.a.,n.a.,614,920,1175,2161,2672,2922,1651,n.a.,n.a.,n.a.,58,131,145,334,108,71,156,n.a.,n.a.,n.a.,1851,1886,1775,2062,1010,1447,469,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-232,-256,-306,-387,-350,-204,-102
1582,SUMMIT WIRELESS TECHNOLOGIES INC,334413,n.a.,-11287,-11161,-11571,-6842,-8497,-8821,n.a.,n.a.,n.a.,n.a.,-12785,-12094,-67356,-25652,-9708,-9097,n.a.,n.a.,n.a.,n.a.,11299,4222,5406,1457,943,1072,n.a.,n.a.,n.a.,n.a.,7415,298,3218,249,92,25,n.a.,n.a.,n.a.,n.a.,2284,2700,1378,9156,7344,3735,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-66,-58,-42,-60,-146,-169,n.a.,n.a.,n.a.
1583,BIOSTAR PHARMACEUTICALS; INC.,325412,n.a.,n.a.,n.a.,n.a.,n.a.,-3564,-22691,-1313,508,-12141,n.a.,n.a.,n.a.,n.a.,n.a.,-5698,-25113,4848,809,-19997,n.a.,n.a.,n.a.,n.a.,n.a.,42502,51364,81247,67564,70475,n.a.,n.a.,n.a.,n.a.,n.a.,173,39,1685,80,1759,n.a.,n.a.,n.a.,n.a.,n.a.,5623,7098,8912,4792,12703,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,-1143,-2320,-3086,-2787,-1828
1584,BAB; INC.,722513,n.a.,233,473,538,460,460,346,538,385,439,n.a.,-66,449,508,454,449,110,512,351,419,n.a.,4094,4230,4366,3868,3872,3688,3674,3773,4090,n.a.,1236,1095,1065,793,907,837,710,684,1256,n.a.,1079,860,916,1012,1107,938,637,780,836,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1,-1,-1,-12,-20,-17,-18,-17,-19
1585,IBIO; INC.,325412,-31111,-14003,-15788,-14227,-14274,-9893,-6666,-3840,-6667,-9327,-23467,-38260,-17853,-16365,-14622,-9764,-6625,-3666,-6198,-5676,146968,94189,30586,43083,36010,51600,12494,6494,9354,9765,96974,55112,4421,15934,8088,23014,9494,3590,4414,5624,6645,5236,3458,2035,2013,2291,1263,395,4286,3596,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2123,-1943,-1427,-1368,-1326,-577,-5,-3,-2,-7
1586,GROW CAPITAL; INC.,541511,n.a.,-2870,-2279,-1510,-853,-29700,-202,-11182,-642,-2413,n.a.,-2347,-2329,-2483,-1615,-29798,-251,-11189,585,-1261,n.a.,1913,3814,2140,2168,1329,1315,1359,21,478,n.a.,247,483,14,30,44,43,155,20,25,n.a.,1628,1184,1884,2076,536,213,79,1060,2473,n.a.,32,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-15,-9,0,-28,-311,-28,-20,-8,-19
1587,RUSHNET; INC.,312111,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1588,SOLIGENIX; INC.,325412,n.a.,-18587,-10541,-9059,-7594,-5710,-7110,-10761,-7157,-4691,n.a.,-17689,-9356,-8900,-7147,-3245,-7831,-6707,-10059,-4163,n.a.,19891,7775,10492,9550,10267,7387,6954,8265,4705,n.a.,18677,5421,8984,7809,8773,4922,5525,5856,3356,n.a.,6081,6312,4212,3230,2870,7405,7108,10035,1154,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-43,-27,-17,-69,-28,-26,-23,-7,-7
1589,XFIT BRANDS; INC.,339920,n.a.,n.a.,n.a.,n.a.,n.a.,-1214,-1226,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1783,-1594,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,663,844,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,51,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1263,915,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-14,-12,n.a.,n.a.,n.a.
1590,LATTENO FOOD CORP.,311920,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,81,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,81,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1420,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,21,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,198,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-125
1591,ITRONICS INC.,325311,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1592,PULSE NETWORK; INC. (THE),541511,n.a.,n.a.,n.a.,n.a.,n.a.,-926,-2023,-1470,-804,-1223,n.a.,n.a.,n.a.,n.a.,n.a.,-1399,-2098,-2291,-999,-1280,n.a.,n.a.,n.a.,n.a.,n.a.,213,1042,2762,474,604,n.a.,n.a.,n.a.,n.a.,n.a.,63,44,28,118,32,n.a.,n.a.,n.a.,n.a.,n.a.,7108,5909,6023,2946,2277,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-48,-40,-63,-73,-89
1593,GREENLINK INTERNATIONAL INC.,325411,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1506,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-831,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,636,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,47,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2592,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-103
1594,CURTISS MOTORCYCLES COMPANY; INC.,336991,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1305,-706,-706,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1311,-666,-510,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,986,464,753,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,92,3,129,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1698,1737,1897,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4,-1,-8
1595,CYCLERION THERAPEUTICS; INC.,541715,n.a.,-82934,-125037,-115252,-93922,-63554,n.a.,n.a.,n.a.,n.a.,n.a.,-77802,-123008,-115252,-93922,-63554,n.a.,n.a.,n.a.,n.a.,n.a.,115378,186478,7401,5470,3875,n.a.,n.a.,n.a.,n.a.,n.a.,54395,94895,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,16952,18249,17846,14037,10636,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2300,-2700,-1528,-1745,-2174,n.a.,n.a.,n.a.,n.a.
1596,PURATION INC.,339999,n.a.,-328,208,532,-40,-200,-1159,-663,-268,-740,n.a.,-328,208,532,-40,-365,-1159,-663,-227,-740,n.a.,486,372,643,454,305,469,440,441,386,n.a.,13,27,188,184,n.a.,n.a.,n.a.,n.a.,7,n.a.,638,405,884,936,840,540,453,232,264,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,0,0,0,-102,0,10,-19
1597,GREENPRO CAPITAL CORP.,541511,n.a.,-2906,-1591,-3229,-2821,32,-289,-73,-22,n.a.,n.a.,-3762,-1345,-8550,-2285,-51,-384,-73,-22,n.a.,n.a.,14796,8884,10064,11014,8411,9068,761,61,n.a.,n.a.,914,1093,2172,1162,1021,1588,411,61,n.a.,n.a.,5023,3876,3717,3924,1997,2912,273,83,n.a.,n.a.,0,28,74,68,18,8,n.a.,n.a.,n.a.,n.a.,-164,-171,-176,-53,-45,-78,-1,n.a.,n.a.
1598,EQ LABS INC,312111,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1599,YBCC; INC.,325411,n.a.,n.a.,n.a.,-65,-627,-389,-245,85,-6,100,n.a.,n.a.,n.a.,-152,-571,-285,-176,52,85,54,n.a.,n.a.,n.a.,3706,3872,4116,8312,12292,8932,8842,n.a.,n.a.,n.a.,50,370,339,747,662,850,1388,n.a.,n.a.,n.a.,3543,3623,3305,6741,8515,5228,5734,n.a.,n.a.,n.a.,125,92,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-227,-230,-197,-117,-7,-3,-14
1600,RAYONT INC.,541715,-846,-239,-2307,-147,-384,-46,-156,-183,-133,-117,-846,-229,-2302,-186,-385,-46,-156,-183,-133,-117,7157,4814,1190,6,51,877,367,549,600,437,244,196,1,0,51,115,33,70,385,182,3228,4219,204,228,86,229,73,98,6,82,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-100,-102,-105,-1,-5,-5,-5,-5,-4,0
1601,ATC VENTURE GROUP INC,333112,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1602,IPSIDY INC.,334118,n.a.,-9010,-10086,-9323,-12009,-13567,-8896,-768,-971,192,n.a.,-11299,-10500,-10028,-17482,-9851,-36679,-905,-976,192,n.a.,13874,13537,18144,17029,12548,3470,777,549,379,n.a.,3765,567,4972,4414,689,350,159,5,18,n.a.,2948,2681,1569,1597,10835,27551,259,291,104,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-55,-86,-494,-475,-421,-147,-24,-21,-21
1603,AEOLUS PHARMACEUTICALS; INC.,325412,n.a.,n.a.,n.a.,n.a.,n.a.,-3273,-2626,-80,-2698,-2371,n.a.,n.a.,n.a.,n.a.,n.a.,-6044,-2628,-80,-3208,1698,n.a.,n.a.,n.a.,n.a.,n.a.,4167,1777,3580,1966,1256,n.a.,n.a.,n.a.,n.a.,n.a.,3155,94,1517,869,281,n.a.,n.a.,n.a.,n.a.,n.a.,972,2622,1995,1261,2272,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,-6,-7
1604,PANACEA LIFE SCIENCES HOLDINGS INC,325412,n.a.,-10555,-10673,-2436,-3125,-1601,-399,-420,-113,-58,n.a.,-9461,-10386,-4337,-3861,-1603,-358,-297,-24,-58,n.a.,71,9799,14,173,2125,85,85,281,29,n.a.,25,18,2,161,1055,n.a.,43,252,6,n.a.,4905,4191,3339,2388,625,178,39,87,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,53,n.a.,n.a.,-85,-64,n.a.,n.a.,0,-2,-2,-2,-1
1605,CANNABIS SATIVA; INC.,325411,n.a.,-2545,-3805,-5070,-7847,-2830,-8968,-14393,-185,-39,n.a.,-2173,-3936,-4128,-7564,-3133,-9433,-14370,-32545,-44,n.a.,3214,2982,4873,7713,3711,2992,3681,27,9,n.a.,322,336,352,176,258,45,26,15,3,n.a.,1560,1180,1569,1499,878,457,2961,32515,87,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-30,-2,-4,-5,-362,-105,-79,-1,-1
1606,COCRYSTAL PHARMA; INC.,325412,n.a.,-9586,-48406,-62924,-8262,-105819,-53948,-5799,-4081,-2554,n.a.,-9648,-48169,-49048,-613,-74874,-50122,-99,-3887,-7965,n.a.,54242,28531,68562,121426,124883,224230,259283,1661,7240,n.a.,33010,7418,2723,748,3605,9276,5945,1034,8,n.a.,1358,2286,1557,1437,2039,6700,9157,386,10820,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,-157,-98,-50,-101,-201,-192,-199,-236,n.a.
1607,NEW YOU INC.,325620,n.a.,-3235,-1691,-427,n.a.,n.a.,-2020,-3691,-2259,-385,n.a.,-5047,-1692,-428,n.a.,n.a.,-8144,-4273,-3817,-466,n.a.,197,300,173,n.a.,n.a.,191,155,326,9,n.a.,45,1,27,n.a.,n.a.,2,15,121,9,n.a.,2595,1233,474,n.a.,n.a.,1498,1171,765,879,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-6,-11,-2,n.a.,n.a.,-2,-2,-1,n.a.
1608,DECISION DIAGNOSTICS CORP.,339112,n.a.,-2416,-1457,-1854,-2463,-3008,-2470,n.a.,-3295,-1922,n.a.,-29669,-3132,-2240,-2991,-3180,-2771,n.a.,-7951,-5367,n.a.,5654,5305,4187,5133,6224,3360,n.a.,n.a.,4141,n.a.,522,114,359,1089,1352,627,n.a.,n.a.,85,n.a.,4925,4972,2849,3248,3620,1881,n.a.,n.a.,3120,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1609,B-SCADA INC.,541511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-559,541,480,170,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-398,1030,871,152,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2784,3065,1111,366,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,841,1145,253,95,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,420,337,310,437,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-17,-12,-5,-12
1610,NUZEE; INC.,311920,-18639,-9333,-12104,-3618,-1767,-1287,-1468,-3133,-1099,-285,-18552,-9477,-12188,-3577,-1767,-1275,-1469,-3136,-1098,-285,13743,8175,5251,2983,1254,522,541,397,1289,299,10816,4399,1326,1807,347,41,108,238,1111,165,1154,1233,977,476,350,945,666,52,115,237,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-345,-408,-401,-152,-76,-42,-22,-3,-1,0
1611,SELLAS LIFE SCIENCES GROUP; INC.,325412,n.a.,-16982,-20041,-31089,-23039,-15988,-34220,-52222,-28489,-21199,n.a.,-16757,-19292,-40760,-23754,-17681,-63902,-36606,-76678,-34969,n.a.,46049,16609,16915,33526,6420,82144,80488,87976,54986,n.a.,35302,7277,5337,2319,5962,29730,23650,47787,35485,n.a.,12336,5290,5974,24569,5758,57071,27233,62473,15919,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,-3,-355,-449,-286,-49
1612,GUARDION HEALTH SCIENCES; INC.,325411,n.a.,-8552,-10497,-6144,-5281,-3696,-6130,-709,-837,n.a.,n.a.,-8572,-10878,-7767,-6216,-6543,-8841,-1320,-1243,n.a.,n.a.,9861,12877,3681,7370,262,246,274,463,n.a.,n.a.,8519,11116,671,4735,63,14,6,23,n.a.,n.a.,1074,410,495,500,608,957,1596,421,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-65,-71,-81,-119,-60,-54,-43,-9,n.a.
1613,AGEX THERAPEUTICS; INC.,541715,n.a.,-10671,-12559,-11245,-6663,-12739,n.a.,n.a.,n.a.,n.a.,n.a.,-10865,-12154,-7502,-6580,-15492,n.a.,n.a.,n.a.,n.a.,n.a.,3925,7442,10671,9631,3223,n.a.,n.a.,n.a.,n.a.,n.a.,527,2352,6707,7375,259,n.a.,n.a.,n.a.,n.a.,n.a.,5357,3297,2440,1312,25598,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1123,-91,-58,-165,-238,n.a.,n.a.,n.a.,n.a.
1614,TECHNICAL COMMUNICATIONS CORP,334220,-2017,-910,618,-1490,-1922,-2989,-1875,-1605,-1546,-1453,-1088,-911,631,-1480,-1913,-2472,-1822,-2565,-714,-841,2317,3281,2917,4102,3935,5471,8016,9809,12351,12840,298,1514,1593,1982,1644,2951,2584,4589,4581,6725,1574,1360,698,2569,919,557,643,742,929,713,n.a.,n.a.,n.a.,n.a.,n.a.,0,41,77,n.a.,n.a.,-14,-22,-28,-48,-99,-159,-199,-202,-199,-217
1615,AMERICAN POWER GROUP CORPORATION,324110,n.a.,n.a.,n.a.,n.a.,n.a.,-5281,-4347,-1989,-1871,-2229,n.a.,n.a.,n.a.,n.a.,n.a.,-10409,-1046,-920,-2926,-14667,n.a.,n.a.,n.a.,n.a.,n.a.,9793,11012,8521,10397,9090,n.a.,n.a.,n.a.,n.a.,n.a.,211,67,126,1684,4423,n.a.,n.a.,n.a.,n.a.,n.a.,3020,5577,2430,2657,1529,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-395,-323,-332,-268,-136
1616,TUSIMPLE HOLDINGS INC,541512,n.a.,-174064,-87280,-45529,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-198829,-145041,-45018,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,346585,96544,119255,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,310815,63610,98814,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,81098,17295,11284,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-7700,-5600,-2525,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1617,LINEAGE CELL THERAPEUTICS; INC.,325414,n.a.,-26447,-38876,-41795,-38902,-58967,-65809,-50683,-55985,-25001,n.a.,-20649,-11709,-45990,-19976,33572,-47406,-36498,-43883,-21426,n.a.,107949,125478,101660,173241,142572,94660,74901,57730,29749,n.a.,41562,30716,30741,38175,22715,42982,29490,5495,4350,n.a.,7769,6494,6812,6879,8850,12462,7069,6958,4391,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-895,-1131,-1100,-947,-1180,-1078,-1051,-657,-386
